time,left_knee_angle_raw,right_knee_angle_raw,left_knee_angle_smoothed,right_knee_angle_smoothed
0.063106700006756,156.8388942575474,165.88492931139314,151.62296846174226,159.2052667881383
0.17640680000477005,152.95707335763927,160.2576186999267,151.62296846174226,159.2052667881383
0.2262263000011444,150.9643912695194,158.6687900532678,151.62296846174226,159.2052667881383
0.27961320000031264,151.8352589795627,159.3061066227573,151.62296846174226,159.2052667881383
0.33028220000414876,151.3069385782414,159.2052667881383,151.62296846174226,159.2052667881383
0.37473420000605984,151.3989984198984,158.6393411206661,151.3989984198984,158.90113715934535
0.4494090000007418,151.62296846174226,158.83095423141512,151.3989984198984,158.90113715934535
0.5178480000031414,151.72289801244656,159.20894635341818,151.3492792281291,158.83435214442233
0.5745748000044841,151.3492792281291,158.90113715934535,151.3492792281291,158.83095423141512
0.6204526000001351,151.13368444976902,158.83435214442233,151.13368444976902,158.83095423141512
0.6586402000029921,150.22352177394964,158.67469670682158,150.22352177394964,158.67469670682158
0.7025935000056052,150.11895814506522,158.17153027843216,150.22352177394964,158.17153027843216
0.7614997000055155,150.02653925684135,157.81942851277756,150.22352177394964,157.81942851277756
0.8016341000038665,150.1594115694277,157.3273826851243,150.22352177394964,157.3273826851243
0.8469248000037624,151.15221640601766,156.76915767728607,150.1594115694277,156.76915767728607
0.9098541000057594,151.5321032161677,156.00608256193237,150.1594115694277,156.00608256193237
0.9526244000007864,151.75665248586145,154.5124714914935,150.1594115694277,155.5046387793259
1.0206810000017867,148.60468201285488,150.2557118341004,151.15221640601766,155.5046387793259
1.1058419000037247,148.56740142384143,150.87644692408855,151.5321032161677,155.5046387793259
1.1459199000018998,149.95297049217135,155.5046387793259,151.75665248586145,155.5046387793259
1.1869839999999385,154.59048969789077,166.28899909252783,154.59048969789077,166.28899909252783
1.2609145000024,158.41963771457216,170.94173121549045,158.41963771457216,170.94173121549045
1.3212943000035011,162.21821499977239,173.44550018410925,161.25546896750996,173.44550018410925
1.4045545000044513,165.33734129947646,174.38360110228157,161.25546896750996,174.38360110228157
1.480100200002198,165.33062888041022,176.86887645553554,161.25546896750996,174.38360110228157
1.536650699999882,161.25546896750996,177.08935488622498,161.25546896750996,176.8146495788988
1.5765054000003147,157.88955274605667,176.89603204742514,158.98341202671506,176.8146495788988
1.6501519000012195,158.98341202671506,174.14203920316078,158.37798452404283,176.8146495788988
1.7313288000004832,158.37798452404283,176.8146495788988,157.88955274605667,174.14203920316078
1.8105862000011257,139.31035558105583,173.84469440554923,148.81029659976613,173.84469440554923
1.8901722000009613,148.81029659976613,167.89556973667987,148.81029659976613,169.62637512895085
1.9509008000022732,143.50160158056872,169.2416629400691,148.81029659976613,169.2416629400691
1.9910465000066324,143.6325929151402,169.62637512895085,148.81029659976613,167.89556973667987
2.063497000002826,156.04598444767316,167.7143095709137,156.04598444767316,167.83339892667757
2.1116723000013735,161.58100722495888,167.83339892667757,160.69504035428997,167.7143095709137
2.1609622000032687,161.065381635303,167.07194193143548,160.69504035428997,167.7143095709137
2.2013086000006297,160.69504035428997,165.0199787144775,160.69504035428997,167.07194193143548
2.2602694000015617,162.1148483725331,166.29422546618684,160.69504035428997,166.29422546618684
2.303931200003717,156.2309177789183,168.11266036273008,159.14575939166667,165.0199787144775
2.3702776999998605,157.98541461459035,159.55052123482704,159.14575939166667,165.0199787144775
2.4367070000007516,158.6271995082158,163.36800197031835,158.6271995082158,166.29422546618684
2.4769990000058897,159.14575939166667,162.8538057876349,157.98541461459035,168.11266036273008
2.5561178000061773,160.33821475566077,169.089701903274,157.98541461459035,167.91837833172556
2.633905100003176,155.78214264947664,171.9540677906321,155.78214264947664,167.91837833172556
2.695663300000888,155.7170179556786,171.16807698298112,155.7170179556786,167.91837833172556
2.7588329999998678,155.4077874127545,167.91837833172556,155.4077874127545,169.089701903274
2.7991489000050933,153.91985416875636,146.482460653922,153.91985416875636,171.09904543377232
2.8737997000062023,152.5293794439542,163.47378323815678,152.5293794439542,167.91837833172556
2.9537464000022737,149.73711042118734,171.8375018863746,149.73711042118734,167.2253555034133
3.028859600002761,144.2964649760958,171.09904543377232,144.2964649760958,163.47378323815678
3.0708228000003146,134.5399722024444,167.2253555034133,144.2964649760958,165.78312903019673
3.1451677000004565,137.15879880798008,161.67764029125024,144.2964649760958,166.85326819994955
3.185977200002526,139.557746484329,163.3557833688215,144.2964649760958,166.85326819994955
3.2464303000015207,146.72901381408232,165.78312903019673,146.72901381408232,166.85326819994955
3.3141375000050175,155.76315942901738,166.85326819994955,155.76315942901738,165.78312903019673
3.4067554000066593,157.8494231067772,170.67425783718068,157.8494231067772,165.78312903019673
3.45969370000239,164.37919212440238,166.91541390234502,157.8494231067772,166.85326819994955
3.521791300001496,162.0160043242574,164.94905927170902,157.8494231067772,166.85326819994955
3.600220000000263,159.07148445116152,165.38807141381108,157.8494231067772,165.38807141381108
3.669364700006554,141.29593220557405,172.3302924116974,141.29593220557405,164.94905927170902
4.269614300006651,133.53090549746784,141.12219669127256,141.29593220557405,154.80709746959147
4.31118620000052,133.88238164665205,139.09175350237203,141.29593220557405,154.80709746959147
4.372975600002974,139.2548135477548,143.49558438553362,141.29593220557405,154.80709746959147
4.436727800006338,149.46398241481535,154.80709746959147,149.46398241481535,154.80709746959147
4.500173200001882,149.84867732258192,155.78946210137536,149.84867732258192,155.78946210137536
4.542125800006033,154.44335969448252,157.43768287815467,154.44335969448252,157.43768287815467
4.610297200000787,160.4235842194351,162.68679447340557,160.1317794289863,162.68679447340557
4.681065500000841,160.1317794289863,163.34279312969815,160.4235842194351,163.34279312969815
4.743150400005106,163.3353481446913,167.39347935451573,163.3353481446913,164.4003849669105
4.828937500002212,165.04298041731155,165.51884244390666,164.20585215030292,165.51884244390666
4.8681015000038315,166.72014912516804,164.4003849669105,165.04298041731155,166.26829683693606
4.9423402000029455,167.54928645553414,166.26829683693606,166.72014912516804,166.93188946555628
5.021977300006256,164.20585215030292,169.00728159170026,167.54928645553414,166.93188946555628
5.0723264000043855,168.51016695258897,166.93188946555628,168.51016695258897,169.00728159170026
5.137304800002312,173.98463132035775,172.54394885085614,168.51016695258897,171.9002271872283
5.242622300000221,174.04095928856424,172.15466281628323,168.51016695258897,171.9002271872283
5.330589800003509,175.79994775953932,174.51111204236378,168.51016695258897,171.9002271872283
5.386019100005797,168.03728653545707,171.9002271872283,168.46066657457388,171.9002271872283
5.423915100000158,161.53228729995413,171.2105783913891,168.46066657457388,171.7534092631209
5.479271500000323,162.39788707963496,171.7534092631209,168.46066657457388,171.2105783913891
5.590652800005046,168.46066657457388,167.8044109449786,168.03728653545707,167.8044109449786
